FullName,Beer
Valtellina Superiore Sassella Riserva,0
Purcari Freedom Blend,0
Midas Golden Pilsner,1
Schlappeseppel Specialität,1
Schlappeseppel Dunkel,1
Schlappeseppel Hefe Weissbier,1
Schlappeseppel Pils,1
Schlappeseppel Kellerbier,1
Valmiermuiza Alus,1
Harviestoun Old Engine Oil Black Ale,1
Château de Cazeneuve Le Roc des Mates,0
Château de Cazeneuve Les Calcaires,0
Excelso Reserva,0
Kråkudden Ljus Lager,1
Halmstad Brygghus Brogatan Engelsk Bitter,1
Spin Back India Pale Ale,1
This Ale Is India Pale,1
Halmstad Brygghus Vallgatan Pale Ale,1
Tyska Eken Weisse,1
Tyska Eken Helles,1
Fjäderholmarnas Monkey Business American Pale Ale,1
Fjäderholmarnas Libertas IPA India Pale Ale,1
White IPA,1
Klaura,1
Pilimausan,1
South Plains Burning Witches Brew,1
Rosso di Valtellina,0
Escada Touriga Nacional,0
Apothic Red Winemaker's Blend,0
Södra Stout,1
Barbera del Monferrato Livio Pavese,0
Red Velvet,0
Allesverloren 1704,0
Macán,0
Tingvalla Amarillo,1
Château La Bourrée,0
Korlat Cabernet Sauvignon,0
Korlat Syrah,0
Ivan Dolac Plavac Mali,0
Mediterano Plavac Mali,0
Ivan Dolac Barrique Plavac Mali,0
Los Frailes Monastrell,0
Domaine Saint Gayan Gigondas,0
Barbaresco Sori Paitin,0
Clos de Vougeot Grand Cru du Clos Frantin Albert Bichot,0
Cigarra Gran Passo Touriga Nacional Cabernet Sauvignon,0
Villa Spinosa Amarone della Valpolicella Classico,0
Côtes Du Rhône Villages Terre d'Argile,0
La Devèze,0
Cerrogallina Bobal,0
Poggio Scalette Chianti Classico,0
Canua Sforzato Di Valtellina,0
Borgogno Barolo Cannubi,0
Medolago Albani Valcalepio Rosso Cabernet Sauvignon Merlot,0
Pineto Brachetto D'Acqui,0
Bombshell Zinfandel,0
Schöfferhofer Hefeweizen,1
Castelmare Amarone della Valpolicella Classico,0
KooLooLoo Cabernet Sauvignon Organic,0
KooLooLoo Old Vine Zinfandel Organic,0
Revolution Cabernet Sauvignon,0
Rumi Napa Valley Red,0
Vinistella Amarone Della Valpolicella Classico,0
Lavender Creek,0
Lusthof Pinotage,0
Fuller's Frontier,1
Muratie Ansela van de Caab,0
Abdyika Melnik Tradition Reserve,0
Preuss Wine Collection Cabernet Sauvignon Merlot Melnik,0
Jago Valpolicella Ripasso Classico Superiore,0
Mizzon Giuseppe Amarone della Valpolicella Classico,0
Mizzon Valpolicella Ripasso Classico Superiore,0
Macho Man Monastrell,0
Montirius Lådan,0
Abrigo Giovanni Piemonte Mix 1,0
Piraat Triple Hop,1
Alexander Vs The Ham Factory Crianza,0
Criminally Bad Elf,1
Insanely Bad Elf,1
Le Cadran de Fombrauge,0
Si Mon Père Savait,0
Spice Route Mourvèdre,0
Spice Route Chakalaka,0
Recioto della Valpolicella Classico Venturini,0
Venturini Massimino Rosso,0
Barolo Pietrin Franco Conterno,0
Költur That's What She Said Amber Ale,1
Barolo Villaforte,0
No Name Evölution India Pale Ale,1
Masi Costasera Amarone Classico Riserva,0
Rådanäs Ekologiska Pilsner,1
Stallhagen India Pale Ale,1
Helsinge Porter,1
Chianti Castelsina Riserva,0
Chateau Maucoil Côtes du Rhône Villages Rouge,0
Brewify Red IPA,1
