FullName,Beer
Ecoviva Terre Siciliane,0
Sweetwater 420 Extra Pale Ale,1
Barolo Ravera,0
Rascallion 45 RMP Red Blend,0
Bombinate,0
Maggio,0
Vina Albali Organic Tempranillo,0
Barbera d'Asti Superiore Carlin de Paolo,0
Cisterna d'Asti Superiore Carlin de Paolo,0
Settevigne Tintilia Claudio Cipressi,0
Tintilia 66 Claudio Cipressi,0
Colección Privada,0
Spike Brewery Cookies & Cream,1
Figueroa Mountain Hurricane Deck,1
Strandlida Bryggeri Röd Ale,1
Söderarm Ale,1
Tjärven Ale,1
Lerskärsgrund Ale,1
Spelmans Ale,1
Finca Antigua Organic Selection,0
Zanoni Valpolicella Ripasso Superiore,0
Alesago Bodegas Moraza,0
Amarone della Valpolicella Zanoni,0
Barolo Cannubi Damilano,0
Paulaner Hefe-Weiss Dunkel,1
Col d'Orcia Rosso di Montalcino,0
Barolo Fontanafredda,0
OHH Paul Sapin Merlot,0
Les Hauts de Castelmaure,0
Vicar's Choice Pinot Noir,0
Plaisir de Vigne Syrah,0
La Bastide Saint Dominique,0
Musita Regieterre Nero d'Avola,0
Saint-Joseph Clos de Cuminaille,0
Crozes-Hermitage Pierre Gaillard,0
Moratel Rosso,0
Recioto Della Valpolicella Corte Sant Alda,0
Corte Sant Alda Amarone Della Valpolicella,0
Corte Sant Alda Ca Fiui,0
Faustino Tempranillo,0
Barefoot Zinfandel,0
Chianti Classico Brancaia Riserva,0
Ronan By Clinet,0
Ascheri Langhe Nebbiolo,0
Cavalo Maluco,0
Brunello di Montalcino Poggio Nero,0
Amarone della Valpolicella Classico Campo del Titari Riserva,0
Amarone della Valpolicella Classico Campo Inferi Riserva,0
Pa' Riondo Valpolicella Ripasso Classico,0
Navardia Rioja,0
Mes Bastides Rouge,0
Rådanäs Porter,1
Côtes de Nuits Village Clos de Magny,0
Eliseo Rosso Toscano,0
Federico Primo Toscana,0
Double Hop Monster India Pale Ale,1
Strong Suffolk Dark Ale,1
Moritz,1
Castello di Radda Chianti Classico,0
Torre dei Vescovi Cabernet Sauvignon,0
Hardys HRB - D645 Cabernet Sauvignon,0
Ysta Vinteröl,1
Ernie Els Proprietor's Cabernet Sauvignon,0
Grillo,0
Grignolino d'Asti Francesco Rinaldi & Figli,0
Cantina Tollo Rosso Biologico,0
Clos Vougeot Vieilles Vignes Domaine Chateau de la Tour,0
Sta María de la Piscina Gran Reserva,0
St Austell Big Job Double IPA,1
Le Gagie Barbera d'Asti,0
Sankt Johannes Winemaker Selection,0
Campione Amarone Della Valpolicella Classico,0
Morlet Joli Coeur Pinot Noir,0
Morlet Coteaux Nobles Pinot Noir,0
Malvarrosa Tinto,0
Castell D`aixa Crianza,0
Bozeto De Exopto,0
Exopto,0
Noah Bramaterra,0
Noah Coste della Sesia Croatina,0
Terroir Al Limit Dits del Terra,0
Barolo Brunate Enzo Boglietti,0
Barbera d'Alba Enzo Boglietti,0
Langhe Buio Enzo Boglietti,0
XIII Lunas Reserva,0
Atrevido Tinto,0
Terroir Históric Negre,0
Terroir Arbossar,0
Côte-Rôtie Ampodium,0
Pavillion Shiraz Cabernet Sauvignon,0
Community Beer IPA,1
Mangofeber DIPA,1
Nya Carnegiebryggeriet Amber Ale,1
Nya Carnegiebryggeriet Kellerbier,1
Folkes Röda IPA,1
Folkes Tjocke Stout,1
Coppersmith's The Kings Checkmate Stout,1
Östersund City Lager,1
Hummelholm IPA,1
Villovägens Falu Imperial IPA,1
Villovägens Falu IPA,1
Villovägens Falu Ale,1
Villovägens Falu Lager,1
Svarte Petter Svart Dubbelbock,1
Grästorps Ale,1
Grästorps Forshalls Brus,1
Montefalco Sagrantino Antonelli,0
L.A. Cetto Cabernet Sauvignon,0
Röbäck Red Ale,1
Santa's Butt,1
Domaine Bousquet Malbec Grande Reserve,0
Woori Yallock Pinot Noir,0
Strandlida Bryggeri Västkustskt Ale,1
Hofbräu Dunkel,1
Bourgogne Pinot Noir Domaine Denis Père & Fils,0
Château Bardoulet Saint-Émilion Grand Cru,0
Château Le Peuy Saincrit Bordeaux Supérieur,0
Unánime,0
Clos De Vougeot Grand Cru Domaine Jean Grivot,0
Zeunerts Höga Kusten,1
Tianna Bocchoris Negre,0
Gorú,0
Oppigårds Everyday IPA,1
Amarone della Valpolicella 1888 Riserva,0
Valpolicella Superiore Villa Canestrari,0
