FullName,Type,Country
Matua Organic Sauvignon Blanc,Vitt vin,Nya Zeeland
Pannier Velours Blanc,Mousserande vin,Frankrike
Chunky Red Zinfandel,Rött vin,Italien
Casa Vinironia Palloncino Aglianico,Rött vin,Italien
Sotanum Les Vins de Vienne,Rött vin,Frankrike
Stepp Scheurebe Beerenauslese,Vitt vin,Tyskland
Tahbilk Marsanne,Vitt vin,Australien
Edward Blom Riesling Trocken,Vitt vin,Tyskland
Zensa Fiano,Vitt vin,Italien
Michel Arnould Grand Cru Brut Rosé,Mousserande vin,Frankrike
Michel Arnould Mémoire De Vignes,Mousserande vin,Frankrike
Meursault Clos des Corvées de Citeau,Vitt vin,Frankrike
Meerlust Pinot Noir,Rött vin,Sydafrika
Brouilly,Rött vin,Frankrike
Château de Barbe Blanche,Rött vin,Frankrike
Vigorello,Rött vin,Italien
Il Grigio Chianti Classico Riserva,Rött vin,Italien
Teatro Red,Rött vin,Spanien
Teatro White,Vitt vin,Spanien
Tribaut Brut Nature,Mousserande vin,Frankrike
Cristo di Campobello Lalùci Grillo,Vitt vin,Italien
C'D'C Cristo di Campobello,Rött vin,Italien
Dufftown 18 Years,Whisky,Storbritannien
Craigellachie 11 Years,Whisky,Storbritannien
Bank Note,Whisky,Storbritannien
Clan Denny Heavily Peated,Whisky,Storbritannien
Clan Denny Sweeltly Spiced,Whisky,Storbritannien
George Laval Brut Nature,Mousserande vin,Frankrike
Cevennes Merlot,Rött vin,Frankrike
Pérez Pascuas Gran Seleccion Bodegas Hnos Pérez Pascuas,Rött vin,Spanien
Cevennes Cabernet Sauvignon,Rött vin,Frankrike
Singleton of Glendullan 38 Years Diageo Plc,Whisky,Storbritannien
Perfect Day Pinot Grigio,Vitt vin,Italien
Barone Montalto Nero d´Avola Merlot,Rött vin,Italien
Kona Big Wave,Öl,USA
Valfonda Spumante Extra Dry,Mousserande vin,Italien
Lervig Konrads Stout,Öl,Norge
Barlingbo Slåttarn,Öl,Sverige
Imperial Vanilla Coffee Porter,Öl,Danmark
Grannen Ale,Öl,Sverige
Sleeman Original Draught,Öl,Kanada
Château Rocheyron,Rött vin,Frankrike
