FullName,Price,Volume,Type,Country
Motzenbäcker Marie Riesling Weissburgunder Spätlese Trocken,139,750,Vitt vin,Tyskland
Valtellina Superiore Sassella Riserva,339,750,Rött vin,Italien
Canella Valdobbiadene Prosecco Superiore Extra Dry,147,750,Mousserande vin,Italien
Viña Soledad Tête de Cuvée Reserva,159,750,Vitt vin,Spanien
Purcari Freedom Blend,181,750,Rött vin,Moldavien
Midas Golden Pilsner,26.7,330,Öl,Sverige
Canella Bellini,133,750,Mousserande vin,Italien
Johanneshof Reinisch Riesling,134,750,Vitt vin,Österrike
Schlappeseppel Specialität,27.1,330,Öl,Tyskland
Schlappeseppel Dunkel,21.1,330,Öl,Tyskland
Schlappeseppel Hefe Weissbier,25.2,500,Öl,Tyskland
Schlappeseppel Pils,20.1,330,Öl,Tyskland
Schlappeseppel Kellerbier,21.1,330,Öl,Tyskland
Valmiermuiza Alus,32.1,500,Öl,Lettland
Harviestoun Old Engine Oil Black Ale,25.7,330,Öl,Storbritannien
Château de Cazeneuve Le Roc des Mates,270,750,Rött vin,Frankrike
Château de Cazeneuve Les Calcaires,221,750,Rött vin,Frankrike
Excelso Reserva,119,750,Rött vin,Spanien
Kråkudden Ljus Lager,26.2,330,Öl,Sverige
Halmstad Brygghus Brogatan Engelsk Bitter,23.9,330,Öl,Sverige
Spin Back India Pale Ale,28.9,330,Öl,Sverige
This Ale Is India Pale,27.2,330,Öl,Sverige
Halmstad Brygghus Vallgatan Pale Ale,21.9,330,Öl,Sverige
Tyska Eken Weisse,29.9,500,Öl,Sverige
Würzburger Pfaffenberg Silvaner Trocken,225,750,Vitt vin,Tyskland
Tyska Eken Helles,20.9,330,Öl,Sverige
Würzburger Silvaner Trocken,185,750,Vitt vin,Tyskland
Fjäderholmarnas Monkey Business American Pale Ale,25.9,330,Öl,Sverige
Fjäderholmarnas Libertas IPA India Pale Ale,26.9,330,Öl,Sverige
White IPA,27.5,330,Öl,Sverige
Klaura,23.7,330,Öl,Sverige
Pilimausan,20.7,330,Öl,Sverige
Langhe Arneis Sá Mai,140,750,Vitt vin,Italien
South Plains Burning Witches Brew,21.8,330,Öl,Sverige
Glen Keith Refill Hogshead 18 Years,1290,700,Whisky,Storbritannien
Tormore Sherry Butt 26 Years,1784,700,Whisky,Storbritannien
Delamotte Blanc de Blancs Brut,619,750,Mousserande vin,Frankrike
Sterhuis Astra White,349,750,Vitt vin,Sydafrika
