FullName,Price,Volume,Type,Country
Von Winning Forster Pechstein Riesling Trocken Grosses Gewächs,499,750,Vitt vin,Tyskland
Carramimbre Crianza,165,750,Rött vin,Spanien
Loxarel Sàniger Brut Reserva,125,750,Mousserande vin,Spanien
Altamimbre,269,750,Rött vin,Spanien
Drappier Brut Nature Pinot Noir Zero Dosage Sans Soufre,399,750,Mousserande vin,Frankrike
The Ironstone Pressings Grenache Shiraz Mourvèdre,449,750,Rött vin,Australien
Villa Teresa Merlot,97,750,Rött vin,Italien
Fuller's London Pride,25.4,500,Öl,Storbritannien
Sancerre Clos du Roy Roger Champault,215,750,Vitt vin,Frankrike
Laurent Miquel Bockholmengruppen Rouge,159,750,Rött vin,Frankrike
Laurent Miquel Bockholmengruppen Blanc,159,750,Vitt vin,Frankrike
Dewaldt Heyns Weathered Hands Chenin Blanc,189,750,Vitt vin,Sydafrika
Fabre Montmayou The Grand Reserve Cabernet Sauvignon,175,750,Rött vin,Argentina
Phebus Malbec Fabre Montmayou,105,750,Rött vin,Argentina
Fabre Montmayou Malbec Reservado,142,750,Rött vin,Argentina
Sancerre Rouge Les Belles Vignes Fournier Père & Fils,192,750,Rött vin,Frankrike
Saronsberg Viognier,189,750,Vitt vin,Sydafrika
Durbanville Hills Bastion Cabernet Sauvignon Shiraz,100,750,Rött vin,Sydafrika
Black Bottle,279,700,Whisky,Storbritannien
Cornas Domaine du Tunnel,399,750,Rött vin,Frankrike
Deanston Archives Single Malt 15 Years,1023,700,Whisky,Storbritannien
Terlan Pinot Noir,169,750,Rött vin,Italien
Zensa Primitivo,89,750,Rött vin,Italien
Falanghina 5,149,750,Vitt vin,Italien
Ca' Matilde Prosecco Extra Dry,129,750,Mousserande vin,Italien
Mullineux White,195,750,Vitt vin,Sydafrika
Chimay Dorée Goud Bieres de Chimay,25.9,330,Öl,Belgien
Conti di Buscareto Rosé Brut,149,750,Mousserande vin,Italien
Talisker Port Ruighe,499,700,Whisky,Storbritannien
Pérez Cruz Limited Edition Cabernet Franc,149,750,Rött vin,Chile
Langhe Nebbiolo Moccagatta,200,750,Rött vin,Italien
Barbaresco Moccagatta,294,750,Rött vin,Italien
The Famous Grouse 40 Years,17995,700,Whisky,Storbritannien
Uisce Beatha Real Irish Whiskey,361,700,Whisky,Irland
Sven Red,101,750,Rött vin,Italien
Sven White,101,750,Vitt vin,Italien
New Belgium Fat Tire Amber Ale,21.9,355,Öl,USA
Saumur Champigny,151,750,Rött vin,Frankrike
Ser Lapo Riserva,169,750,Rött vin,Italien
Johannishof Rüdesheim Berg Roseneck,179,750,Vitt vin,Tyskland
Crémant de Loire Rosé,119,750,Mousserande vin,Frankrike
Eskilstuna Pale Ale,24.9,330,Öl,Sverige
West Coast Old School,25.9,330,Öl,Sverige
Eskilstuna Barley Wine,45,330,Öl,Sverige
Prins Katt Breakfast-IPA,31.9,330,Öl,Sverige
Prins Katt Chocolate Bar Stout,39.9,330,Öl,Sverige
Electric Nurse Easy Peasy Hop Squeezy,39.9,330,Öl,Sverige
Hop Shed Mango pale ale,37.1,330,Öl,Sverige
Hop Shed Piri piri porter,34.1,330,Öl,Sverige
Hop Shed Red IPA,34.1,330,Öl,Sverige
Hop Shed Citrabomb pale ale,34.3,330,Öl,Sverige
Electric Nurse Electric Friday,39.9,330,Öl,Sverige
Pils Modernum Spike Brewery AB,29.9,440,Öl,Sverige
Den bryggande Holländaren White Lies,25.9,330,Öl,Sverige
Den Bryggade Holländaren Toast to You! a.k.a. Rye-Cycled,28.2,330,Öl,Sverige
Sälens Fjällbryggeri Vargavinter,29.8,330,Öl,Sverige
Sälens Fjällbryggeri Alien Brothers Pacific Pale Ale,24.9,330,Öl,Sverige
Luke Lambert Nebbiolo,399,750,Rött vin,Australien
Jean-Claude Boisset Ladoix Premier Cru Hautes-Mourottes,329,750,Rött vin,Frankrike
Prendina Faial Merlot,388,750,Rött vin,Italien
1000 Stories Bourbon Barrel Aged Zinfandel,139,750,Rött vin,USA
Nino Barraco Vignamare Bianco,214,750,Vitt vin,Italien
Cremant de Bourgogne Francois Martenot Brut,114,750,Mousserande vin,Frankrike
El Gran Botánico Cava,89,750,Mousserande vin,Spanien
Malgomaj,26.6,330,Öl,Sverige
Funkyland Sour Blueberry Weissbier,26.8,330,Öl,Sverige
Good Guys Brew Pilot IPA,29.9,330,Öl,Sverige
Bergslagens Simcorillo IPA,24.9,330,Öl,Sverige
Lambeth Walk Porter,39,330,Öl,Storbritannien
Båstad Selection Extra Dry Premier Cru,389,750,Mousserande vin,Frankrike
Sleeman Honey Brown Lager,34.7,341,Öl,Kanada
Saku Tume,35,500,Öl,Estland
Rendola,99,750,Rött vin,Italien
Fotja Montsant,182,750,Rött vin,Spanien
Somiatruites,133,750,Vitt vin,Spanien
Mas Suau Nature Rosé Brut,123,750,Mousserande vin,Spanien
Mas Suau Nature Brut,123,750,Mousserande vin,Spanien
Vigna Delle Lepri Sangiovese di Romagna,199,750,Rött vin,Italien
Fattoria Paradiso Albana Secco,99,750,Vitt vin,Italien
Alberget 4A,27.2,500,Öl,Sverige
Spaten Oktoberfestbier,22.9,500,Öl,Tyskland
Hofbräu München Oktoberfest,21.9,500,Öl,Tyskland
Löwenbräu Oktoberfestbier,22.9,500,Öl,Tyskland
Samuel Adams Octoberfest,20.9,355,Öl,USA
Tjockhult Tjinook,30.1,500,Öl,Sverige
Midaftonsbäcken,38.4,330,Öl,Sverige
Lunndörren,38.4,330,Öl,Sverige
Klackabacken Scandinavian Spruce,23.9,330,Öl,Sverige
Halmstad Brygghus Alet West Coast IPA,27.9,330,Öl,Sverige
Jim Barry The Armagh,1995,750,Rött vin,Australien
Becker Family Pinot Noir,149,750,Rött vin,Tyskland
Rutherford Estate Cabernet Sauvignon,749,750,Rött vin,USA
Buxton x Dugges Ramberget IPA,29.9,330,Öl,Storbritannien
Stockholm Syndrome Red Ale,29,330,Öl,Sverige
Folkes Ofiltrerade Lager,21.9,330,Öl,Sverige
O'Hara's Irish Red Ale,17.9,330,Öl,Irland
Folkes Pale Ale,23.9,330,Öl,Sverige
La Trappe Blond,27.9,330,Öl,Nederländerna
Rådanäs Alter Ego,17.9,330,Öl,Sverige
Barra of Mendocino Cabernet Sauvignon,150,750,Rött vin,USA
Bulleit Rye,359,700,Whisky,USA
Buena Vista Carneros Chardonnay,185,750,Vitt vin,USA
Ole Smoky Original Moonshine,279,500,Whisky,USA
Sivas-Sonoma Old Vine Zinfandel,99,750,Rött vin,USA
Volnay Domaine Henri Boillot,694,750,Rött vin,Frankrike
